frequency,pdr
11,-59.5
12,-79.1
13,-73.9
14,-63.8
15,-59.9
16,-62.5
17,-67.0
18,-65.0
19,-65.7
20,-60.3
21,-63.8
22,-58.7
23,-59.7
24,-61.2
25,-59.1111111111
26,-66.5
