frequency,pdr
11,-52.4
12,-44.4
13,-47.3
14,-49.0
15,-57.1111111111
16,-43.0
17,-43.0
18,-47.0
19,-49.0
20,-44.8
21,-40.9
22,-59.5
23,-46.6
24,-52.7
25,-48.8
26,-49.6
