frequency,avg_rssi
11,-54.0294117647
12,-51.4671052632
13,-53.8882352941
14,-54.5696969697
15,-53.2294117647
16,-53.7117647059
17,-52.4352941176
18,-52.5764705882
19,-55.7
20,-53.7941176471
21,-54.8705882353
22,-54.5235294118
23,-54.2882352941
24,-55.8882352941
25,-54.1176470588
26,-54.5705882353
