frequency,avg_rssi
11,-53.0314465409
12,-53.2111801242
13,-52.1794871795
14,-53.9117647059
15,-55.4588235294
16,-53.918128655
17,-54.4352941176
18,-53.2529411765
19,-54.9526627219
20,-53.9058823529
21,-54.9764705882
22,-53.4470588235
23,-54.6941176471
24,-56.1520467836
25,-56.3727810651
26,-58.7882352941
