frequency,pdr
11,-62.8
12,-74.9
13,-61.2
14,-56.0
15,-59.3
16,-61.4
17,-61.0
18,-58.7
19,-55.0
20,-55.0
21,-55.0
22,-55.0
23,-54.7
24,-55.0
25,-58.0
26,-61.0
