frequency,pdr
11,-59.9
12,-67.0
13,-65.7777777778
14,-63.8
15,-58.0
16,-58.1
17,-62.3
18,-64.3
19,-63.7
20,-67.0
21,-59.7
22,-66.9
23,-64.0
24,-56.7
25,-54.1
26,-58.9
