frequency,pdr
11,-71.3333333333
12,-62.3333333333
13,-60.6
14,-61.4
15,-57.7
16,-66.4
17,-65.1
18,-65.1
19,-61.2
20,-64.9
21,-72.8
22,-61.0
23,-63.8
24,-62.7777777778
25,-62.5
26,-58.1
