frequency,pdr
11,-76.0
12,-76.0
13,-73.0
14,-71.8
15,-70.0
16,-70.0
17,-71.0
18,-72.9
19,-73.7
20,-76.0
21,-76.0
22,-76.0
23,-76.0
24,-79.0
25,-79.0
26,-80.0
