frequency,avg_rssi
11,-54.7330337079
12,-54.8119389587
13,-55.0909510619
14,-55.3807813202
15,-55.6988527725
16,-55.265141319
17,-54.7771300448
18,-55.6109613657
19,-56.0331987438
20,-55.447781264
21,-55.8291479821
22,-56.0955585464
23,-56.2595419847
24,-56.576819407
25,-55.5860215054
26,-56.4979811575
