frequency,avg_rssi
11,-53.4790823212
12,-53.6634571298
13,-53.8918545789
14,-54.1171980242
15,-53.8919925512
16,-54.4233870968
17,-54.142921147
18,-53.7818100358
19,-54.1158509205
20,-53.9144265233
21,-53.9659192825
22,-54.0973530731
23,-54.3119389587
24,-54.8308658591
25,-54.7493273543
26,-54.9080717489
