frequency,avg_rssi
11,-58.5600896861
12,-59.1562799616
13,-58.7634038367
14,-58.7307171854
15,-59.2426008969
16,-59.3893129771
17,-59.2436069987
18,-59.3693411026
19,-59.6908602151
20,-59.4482758621
21,-59.9583333333
22,-59.9459215863
23,-59.9286035025
24,-59.6255605381
25,-60.0723920863
26,-60.3378378378
