frequency,avg_rssi
11,-54.8123312331
12,-55.2219658514
13,-55.523347203
14,-54.9672744273
15,-55.1357526882
16,-55.2682817407
17,-55.5773889637
18,-56.0685791125
19,-55.9215949821
20,-56.1811659193
21,-56.158531124
22,-56.2704881326
23,-56.8279424978
24,-56.1807174888
25,-56.3053811659
26,-56.6687584043
