frequency,avg_rssi
11,-60.3741905643
12,-60.9157142857
13,-59.7295168067
14,-60.68378119
15,-61.39155815
16,-61.3669683258
17,-62.0466367713
18,-61.3768572715
19,-61.2943294329
20,-61.8718063649
21,-61.5125560538
22,-61.881059246
23,-61.8850987433
24,-61.4715118887
25,-61.8291479821
26,-62.4637023593
