frequency,pdr
11,-67.3333333333
12,-57.3333333333
13,-61.4
14,-63.7
15,-65.1
16,-65.8
17,-70.4
18,-64.5
19,-67.0
20,-62.3
21,-59.4
22,-61.3
23,-63.4
24,-58.0
25,-65.8
26,-70.1
