frequency,pdr
11,-75.1
12,-76.0
13,-77.0
14,-78.0
15,-79.0
16,-80.0
17,-81.3
18,-81.0
19,-80.0
20,-79.4
21,-80.0
22,-80.0
23,-79.625
24,-80.0
25,-81.1
26,-81.8
