frequency,pdr
11,-39.9
12,-38.3
13,-37.3
14,-34.3
15,-33.8
16,-31.8
17,-34.3
18,-40.4
19,-47.1
20,-42.6
21,-40.0
22,-43.3
23,-46.0
24,-46.7
25,-49.8
26,-49.8
