frequency,pdr
11,-60.2
12,-66.5
13,-63.7
14,-66.6
15,-72.0
16,-70.2
17,-73.2
18,-73.4
19,-67.3
20,-68.4
21,-68.8
22,-70.0
23,-67.0
24,-67.0
25,-66.6
26,-67.8
