frequency,pdr
11,-61.8888888889
12,-59.75
13,-55.0
14,-52.0
15,-49.8
16,-53.9
17,-55.0
18,-54.125
19,-54.5
20,-55.0
21,-55.0
22,-53.0
23,-55.0
24,-55.0
25,-59.5
26,-74.3
