frequency,avg_rssi
11,-55.6016129032
12,-55.4903225806
13,-55.6832797428
14,-55.2919354839
15,-55.5798045603
16,-56.8419354839
17,-57.0161030596
18,-56.1161290323
19,-56.1127214171
20,-56.5322580645
21,-57.6887096774
22,-57.806763285
23,-57.7172859451
24,-58.2193548387
25,-58.07568438
26,-58.1642512077
