frequency,avg_rssi
11,-53.6790322581
12,-53.5693548387
13,-54.0870967742
14,-54.5612903226
15,-55.1032258065
16,-55.1774193548
17,-54.5870967742
18,-54.7967741935
19,-54.4983870968
20,-54.3752012882
21,-54.7938808374
22,-55.1578099839
23,-55.60591133
24,-56.1211631664
25,-55.5758064516
26,-55.5193548387
