frequency,pdr
11,-64.9
12,-64.4
13,-60.6666666667
14,-64.1
15,-61.3
16,-80.875
17,-62.0
18,-67.0
19,-60.3
20,-63.8
21,-61.0
22,-61.0
23,-64.6
24,-79.0
25,-66.9
26,-61.0
