frequency,pdr
11,-48.4
12,-57.6666666667
13,-53.6
14,-48.4
15,-49.2
16,-51.6
17,-52.0
18,-53.6
19,-49.0
20,-58.9
21,-55.0
22,-58.0
23,-52.9
24,-59.7
25,-65.7
26,-55.0
