frequency,pdr
11,-43.0
12,-46.7
13,-46.6
14,-47.1
15,-46.1
16,-49.5
17,-46.0
18,-44.0
19,-45.6
20,-44.6
21,-46.0
22,-48.2
23,-45.7
24,-48.7
25,-55.0
26,-50.6
