frequency,pdr
11,-57.1
12,-64.8888888889
13,-57.9
14,-58.0
15,-60.6
16,-55.6
17,-59.1
18,-62.1
19,-68.8
20,-61.0
21,-62.5
22,-63.0
23,-55.0
24,-60.4
25,-65.0
26,-62.1
