frequency,pdr
11,-49.0
12,-49.0
13,-49.0
14,-52.1
15,-55.9
16,-62.3
17,-69.4
18,-83.0
19,-70.0
20,-69.6
21,-68.2
22,-66.0
23,-63.9
24,-58.4
25,-55.0
26,-55.0
