frequency,avg_rssi
11,-70.9030769231
12,-72.2066957787
13,-72.1811145511
14,-72.6324167873
15,-74.080794702
16,-73.7424657534
17,-73.4582743989
18,-73.2716763006
19,-75.111969112
20,-73.492917847
21,-73.9635854342
22,-70.3855633803
23,-74.3934191702
24,-74.4232424677
25,-73.386259542
26,-74.4103703704
