frequency,avg_rssi
11,-73.9049360146
12,-74.8964912281
13,-75.3826086957
14,-75.6954225352
15,-76.8175787728
16,-77.3676012461
17,-77.7612403101
18,-76.8441780822
19,-77.156996587
20,-75.214028777
21,-76.1524590164
22,-71.0485651214
23,-76.1973466003
24,-76.4565217391
25,-77.0625
26,-77.3112582781
