frequency,avg_rssi
11,-72.8503521127
12,-74.1638795987
13,-76.0243902439
14,-76.0404354588
15,-76.4483821263
16,-77.4613138686
17,-76.6666666667
18,-76.0785597381
19,-77.7172619048
20,-76.7801302932
21,-76.7520525452
22,-71.1625615764
23,-77.0100334448
24,-77.3712
25,-78.027607362
26,-77.0459016393
