frequency,avg_rssi
11,-72.6231263383
12,-74.0452488688
13,-76.2677595628
14,-75.7604690117
15,-76.1312292359
16,-76.5284280936
17,-76.567839196
18,-77.087804878
19,-77.8
20,-76.7623089983
21,-78.0955315871
22,-73.6666666667
23,-76.7714285714
24,-77.318627451
25,-77.6452648475
26,-77.6879084967
