frequency,avg_rssi
11,-64.8157303371
12,-64.3778280543
13,-65.2445414847
14,-65.8538135593
15,-66.0333333333
16,-65.9790794979
17,-65.5995670996
18,-65.8669527897
19,-66.4513457557
20,-65.2105263158
21,-65.8604651163
22,-62.8047619048
23,-66.5599173554
24,-66.5807127883
25,-67.7206477733
26,-68.2510040161
