frequency,pdr
11,-65.9
12,-64.0
13,-68.7
14,-72.4
15,-62.9
16,-70.0
17,-67.0
18,-70.2
19,-64.0
20,-68.0
21,-62.5
22,-66.0
23,-58.0
24,-58.0
25,-68.5
26,-65.6
