timestamp,mac,frequency,length,rssi,crc,expected,srcmac,transctr,pkctr,txnumpk,txpower,txifdur,txlength,txfillbyte
2014-11-04_06.20.02,14-15-92-00-12-91-ba-b9,20,100,-72,1,1,14-15-92-00-12-91-cb-96,1,0,2,0,100,100,0x0a
2014-11-04_06.20.02,14-15-92-00-12-91-ba-b9,20,100,-72,1,1,14-15-92-00-12-91-cb-96,1,1,2,0,100,100,0x0a
2014-11-04_06.20.02,14-15-92-00-12-91-bd-ae,20,100,-58,1,1,14-15-92-00-12-91-cb-96,1,0,2,0,100,100,0x0a
2014-11-04_06.20.02,14-15-92-00-12-91-bd-ae,20,100,-58,1,1,14-15-92-00-12-91-cb-96,1,1,2,0,100,100,0x0a
2014-11-04_06.20.05,14-15-92-00-12-91-bd-ae,20,100,-81,1,1,14-15-92-00-12-91-ba-b9,2,0,2,0,100,100,0x0a
2014-11-04_06.20.05,14-15-92-00-12-91-bd-ae,20,100,-81,1,1,14-15-92-00-12-91-ba-b9,2,1,2,0,100,100,0x0a
2014-11-04_06.20.05,14-15-92-00-12-91-cb-96,20,100,-73,1,1,14-15-92-00-12-91-ba-b9,2,0,2,0,100,100,0x0a
2014-11-04_06.20.05,14-15-92-00-12-91-cb-96,20,100,-74,1,1,14-15-92-00-12-91-ba-b9,2,1,2,0,100,100,0x0a
2014-11-04_06.20.08,14-15-92-00-12-91-ba-b9,20,100,-82,1,1,14-15-92-00-12-91-bd-ae,3,0,2,0,100,100,0x0a
2014-11-04_06.20.08,14-15-92-00-12-91-ba-b9,20,100,-82,1,1,14-15-92-00-12-91-bd-ae,3,1,2,0,100,100,0x0a
2014-11-04_06.20.08,14-15-92-00-12-91-cb-96,20,100,-54,1,1,14-15-92-00-12-91-bd-ae,3,0,2,0,100,100,0x0a
2014-11-04_06.20.08,14-15-92-00-12-91-cb-96,20,100,-54,1,1,14-15-92-00-12-91-bd-ae,3,1,2,0,100,100,0x0a
2014-11-04_06.20.11,14-15-92-00-12-91-ba-b9,21,100,-72,1,1,14-15-92-00-12-91-cb-96,4,0,2,0,100,100,0x0a
2014-11-04_06.20.11,14-15-92-00-12-91-ba-b9,21,100,-72,1,1,14-15-92-00-12-91-cb-96,4,1,2,0,100,100,0x0a
2014-11-04_06.20.11,14-15-92-00-12-91-bd-ae,21,100,-58,1,1,14-15-92-00-12-91-cb-96,4,0,2,0,100,100,0x0a
2014-11-04_06.20.11,14-15-92-00-12-91-bd-ae,21,100,-58,1,1,14-15-92-00-12-91-cb-96,4,1,2,0,100,100,0x0a
2014-11-04_06.20.14,14-15-92-00-12-91-bd-ae,21,100,-80,1,1,14-15-92-00-12-91-ba-b9,5,0,2,0,100,100,0x0a
2014-11-04_06.20.14,14-15-92-00-12-91-bd-ae,21,100,-80,1,1,14-15-92-00-12-91-ba-b9,5,1,2,0,100,100,0x0a
2014-11-04_06.20.14,14-15-92-00-12-91-cb-96,21,100,-74,1,1,14-15-92-00-12-91-ba-b9,5,0,2,0,100,100,0x0a
2014-11-04_06.20.14,14-15-92-00-12-91-cb-96,21,100,-74,1,1,14-15-92-00-12-91-ba-b9,5,1,2,0,100,100,0x0a
2014-11-04_06.20.18,14-15-92-00-12-91-ba-b9,21,100,-80,1,1,14-15-92-00-12-91-bd-ae,6,0,2,0,100,100,0x0a
2014-11-04_06.20.18,14-15-92-00-12-91-ba-b9,21,100,-80,1,1,14-15-92-00-12-91-bd-ae,6,1,2,0,100,100,0x0a
2014-11-04_06.20.18,14-15-92-00-12-91-cb-96,21,100,-54,1,1,14-15-92-00-12-91-bd-ae,6,0,2,0,100,100,0x0a
2014-11-04_06.20.18,14-15-92-00-12-91-cb-96,21,100,-54,1,1,14-15-92-00-12-91-bd-ae,6,1,2,0,100,100,0x0a
