timestamp,mac,frequency,length,rssi,crc,expected,srcmac,transctr,pkctr,txnumpk,txpower,txifdur,txlength,txfillbyte
2014-11-06_01.30.37,14-15-92-00-12-91-cb-fd,11,100,-70,1,1,14-15-92-00-12-91-ca-eb,1,0,100,0,100,100,0x0a
2014-11-06_01.30.37,14-15-92-00-12-91-cb-fd,11,100,-70,1,1,14-15-92-00-12-91-ca-eb,1,1,100,0,100,100,0x0a
2014-11-06_01.30.37,14-15-92-00-12-91-ba-c7,11,100,-69,1,1,14-15-92-00-12-91-ca-eb,1,0,100,0,100,100,0x0a
2014-11-06_01.30.37,14-15-92-00-12-91-ba-c7,11,100,-68,1,1,14-15-92-00-12-91-ca-eb,1,1,100,0,100,100,0x0a
2014-11-06_01.30.37,14-15-92-00-12-91-ba-c7,11,100,-69,1,1,14-15-92-00-12-91-ca-eb,1,2,100,0,100,100,0x0a
2014-11-06_01.30.37,14-15-92-00-12-91-cb-fd,11,100,-70,1,1,14-15-92-00-12-91-ca-eb,1,2,100,0,100,100,0x0a
2014-11-06_01.30.37,14-15-92-00-12-91-cb-fd,11,100,-70,1,1,14-15-92-00-12-91-ca-eb,1,3,100,0,100,100,0x0a
2014-11-06_01.30.37,14-15-92-00-12-91-cb-fd,11,100,-70,1,1,14-15-92-00-12-91-ca-eb,1,4,100,0,100,100,0x0a
2014-11-06_01.30.37,14-15-92-00-12-91-ba-c7,11,100,-69,1,1,14-15-92-00-12-91-ca-eb,1,3,100,0,100,100,0x0a
2014-11-06_01.30.37,14-15-92-00-12-91-ba-c7,11,100,-69,1,1,14-15-92-00-12-91-ca-eb,1,4,100,0,100,100,0x0a
2014-11-06_01.30.37,14-15-92-00-12-91-ba-c7,11,100,-69,1,1,14-15-92-00-12-91-ca-eb,1,5,100,0,100,100,0x0a
2014-11-06_01.30.38,14-15-92-00-12-91-cb-fd,11,100,-70,1,1,14-15-92-00-12-91-ca-eb,1,5,100,0,100,100,0x0a
2014-11-06_01.30.38,14-15-92-00-12-91-cb-fd,11,100,-70,1,1,14-15-92-00-12-91-ca-eb,1,6,100,0,100,100,0x0a
2014-11-06_01.30.38,14-15-92-00-12-91-cb-fd,11,100,-70,1,1,14-15-92-00-12-91-ca-eb,1,7,100,0,100,100,0x0a
2014-11-06_01.30.38,14-15-92-00-12-91-ba-c7,11,100,-68,1,1,14-15-92-00-12-91-ca-eb,1,6,100,0,100,100,0x0a
2014-11-06_01.30.38,14-15-92-00-12-91-ba-c7,11,100,-68,1,1,14-15-92-00-12-91-ca-eb,1,7,100,0,100,100,0x0a
2014-11-06_01.30.38,14-15-92-00-12-91-ba-c7,11,100,-68,1,1,14-15-92-00-12-91-ca-eb,1,8,100,0,100,100,0x0a
2014-11-06_01.30.38,14-15-92-00-12-91-cb-fd,11,100,-70,1,1,14-15-92-00-12-91-ca-eb,1,8,100,0,100,100,0x0a
2014-11-06_01.30.38,14-15-92-00-12-91-cb-fd,11,100,-70,1,1,14-15-92-00-12-91-ca-eb,1,9,100,0,100,100,0x0a
2014-11-06_01.30.38,14-15-92-00-12-91-cb-fd,11,100,-70,1,1,14-15-92-00-12-91-ca-eb,1,10,100,0,100,100,0x0a
2014-11-06_01.30.38,14-15-92-00-12-91-ba-c7,11,100,-69,1,1,14-15-92-00-12-91-ca-eb,1,9,100,0,100,100,0x0a
2014-11-06_01.30.38,14-15-92-00-12-91-ba-c7,11,100,-69,1,1,14-15-92-00-12-91-ca-eb,1,10,100,0,100,100,0x0a
2014-11-06_01.30.38,14-15-92-00-12-91-ba-c7,11,100,-69,1,1,14-15-92-00-12-91-ca-eb,1,11,100,0,100,100,0x0a
2014-11-06_01.30.38,14-15-92-00-12-91-cb-fd,11,100,-70,1,1,14-15-92-00-12-91-ca-eb,1,11,100,0,100,100,0x0a
2014-11-06_01.30.38,14-15-92-00-12-91-cb-fd,11,100,-70,1,1,14-15-92-00-12-91-ca-eb,1,12,100,0,100,100,0x0a
