frequency,pdr
11,-52.0
12,-58.2
13,-67.0
14,-62.8
15,-52.0
16,-49.0
17,-49.3
18,-52.0
19,-49.9
20,-49.0
21,-49.0
22,-49.2
23,-47.5
24,-46.2
25,-49.0
26,-52.0
