frequency,pdr
11,-64.1
12,-60.7
13,-70.3333333333
14,-61.4444444444
15,-64.0
16,-72.9
17,-64.5
18,-55.0
19,-55.0
20,-61.0
21,-61.1
22,-60.8
23,-74.4
24,-64.0
25,-69.4
26,-62.7
