frequency,pdr
11,-70.0
12,-58.0
13,-60.5555555556
14,-68.2
15,-69.5
16,-60.7
17,-77.6
18,-70.0
19,-69.1
20,-64.6
21,-68.4
22,-78.1428571429
23,-66.9
24,-66.6
25,-64.0
26,-80.5555555556
