frequency,pdr
11,-55.0
12,-55.0
13,-55.0
14,-60.2
15,-59.0
16,-61.0
17,-55.0
18,-59.0
19,-64.0
20,-64.0
21,-56.5
22,-55.0
23,-54.8
24,-53.9
25,-53.9
26,-54.0
