frequency,pdr
11,-46.0
12,-55.0
13,-55.0
14,-48.0
15,-53.3333333333
16,-53.7
17,-59.4
18,-49.3
19,-48.9
20,-61.9
21,-64.3
22,-48.7
23,-54.2
24,-52.7
25,-63.4
26,-49.4
