frequency,pdr
11,-49.0
12,-49.0
13,-51.9
14,-52.9
15,-55.0
16,-52.0
17,-52.0
18,-56.0
19,-61.0
20,-55.0
21,-53.3
22,-55.0
23,-55.4
24,-60.4
25,-61.0
26,-61.0
