frequency,pdr
11,-67.0
12,-67.0
13,-66.3
14,-67.0
15,-67.0
16,-69.0
17,-70.4
18,-73.0
19,-76.0
20,-77.7
21,-79.0
22,-77.0
23,-76.0
24,-74.0
25,-73.2
26,-73.0
