frequency,pdr
11,-90.0
12,-88.8
13,-85.0
14,-83.0
15,-82.2
16,-83.0
17,-85.0
18,-87.3
19,-87.6
20,-86.8
21,-88.1
22,-89.0
23,-91.0
24,-91.0
26,-90.8888888889
