frequency,pdr
11,-52.0
12,-59.5555555556
13,-67.0
14,-60.7777777778
15,-63.6666666667
16,-54.1
17,-59.3
18,-65.3
19,-64.5
20,-61.0
21,-56.8
22,-60.9
23,-55.0
24,-61.0
25,-63.6
26,-61.0
