frequency,pdr
11,-61.0
12,-58.6666666667
13,-54.8
14,-57.0
15,-52.0
16,-47.1
17,-49.0
18,-63.7
19,-60.2
20,-55.2
21,-55.0
22,-58.0
23,-77.875
24,-64.0
25,-69.7777777778
26,-65.5
