frequency,pdr
11,-64.0
12,-51.5
13,-55.9
14,-67.9
15,-57.1
16,-55.0
17,-63.7
18,-54.8
19,-61.1
20,-53.0
21,-57.3
22,-55.5
23,-69.0
24,-55.0
25,-52.0
26,-59.4
