frequency,pdr
11,-55.0
12,-55.0
13,-55.0
14,-52.0
15,-52.0
16,-49.0
17,-46.5
18,-46.0
19,-46.0
20,-46.0
21,-46.4
22,-48.0
23,-48.3
24,-47.6
25,-48.2
26,-49.0
