frequency,pdr
11,-78.4
12,-76.0
13,-70.0
14,-69.1
15,-67.7
16,-67.0
17,-67.0
18,-67.0
19,-67.0
20,-67.0
21,-66.7
22,-66.0
23,-67.0
24,-67.0
25,-67.0
26,-68.0
