frequency,pdr
11,-64.0
12,-66.0
13,-63.9
14,-63.0
15,-61.0
16,-61.0
17,-59.2
18,-58.1
19,-58.0
20,-58.0
21,-59.5
22,-61.0
23,-62.1
24,-62.1
25,-61.9
26,-63.2
