frequency,pdr
11,-63.0
12,-56.8
13,-55.0
14,-50.8
15,-53.1111111111
16,-56.9
17,-53.4
18,-57.8
19,-49.7
20,-48.8
21,-49.4
22,-52.0
23,-52.0
24,-57.7
25,-50.6
26,-61.0
