frequency,pdr
11,-70.8
12,-54.8
13,-64.0
14,-71.0
15,-69.0
16,-66.4
17,-75.2
18,-74.1
19,-64.0
20,-60.5
21,-62.8
22,-67.0
23,-67.0
24,-75.0
25,-67.0
26,-68.4
