frequency,pdr
11,-58.4
12,-59.5
13,-61.4
14,-69.3
15,-57.2
16,-58.0
17,-60.1
18,-62.8
19,-57.2
20,-60.9
21,-64.0
22,-73.9
23,-70.3
24,-58.0
25,-65.3
26,-61.1
